MatchId;Home Tactic;Away Tactic;Home Goals;Away Goals
631161024;Normal;Counter-attacks;0;5
631161025;Attack on wings;Normal;9;0
631161026;Normal;Normal;3;3
631161027;Counter-attacks;Normal;8;0
631161028;Attack in the Middle;Normal;9;0
631161029;Attack in the Middle;Normal;2;0
631161030;Attack on wings;Normal;8;0
631161031;Normal;Normal;2;1
631161032;Normal;Normal;1;3
631161033;Normal;Attack in the Middle;0;6
631161034;Normal;Normal;7;0
631161035;Normal;Attack on wings;0;6
631161036;Normal;Normal;4;1
631161037;Attack in the Middle;Normal;8;0
631161038;Attack on wings;Normal;10;0
631161039;Normal;Normal;0;5
631161040;Normal;Normal;1;4
631161041;Normal;Attack in the Middle;0;9
631161042;Normal;Attack on wings;3;3
631161043;Normal;Normal;3;1
631161044;Normal;Normal;2;6
631161045;Attack in the Middle;Normal;5;0
631161046;Normal;Normal;4;0
631161047;Attack on wings;Normal;8;0
631161048;Normal;Normal;9;0
631161049;Normal;Attack in the Middle;0;8
631161050;Normal;Attack on wings;1;7
631161051;Normal;Normal;1;7
631161052;Normal;Normal;1;8
631161053;Attack in the Middle;Attack on wings;4;3
631161054;Normal;Normal;7;1
631161055;Normal;Normal;5;0
631161056;Normal;Normal;5;0
631161057;Normal;Normal;5;2
631161058;Normal;Normal;0;5
631161059;Normal;Normal;0;7
631161060;Attack on wings;Attack in the Middle;1;2
631161061;Normal;Normal;6;0
631161062;Normal;Normal;5;0
631161063;Attack on wings;Normal;8;0
631161064;Attack in the Middle;Normal;9;0
631161065;Normal;Normal;0;7
631161066;Normal;Attack on wings;0;8
631161067;Normal;Normal;0;6
631161068;Normal;Attack in the Middle;0;9
631161069;Normal;Normal;7;1
631161070;Normal;Normal;0;3
631161071;Attack on wings;Normal;5;0
631161072;Attack in the Middle;Normal;10;0
631161073;Normal;Normal;3;1
631161074;Normal;Normal;8;1
631161075;Normal;Attack on wings;0;8
631161076;Normal;Attack in the Middle;0;9
631161077;Normal;Normal;4;1
631161078;Attack on wings;Normal;11;1
631161079;Normal;Normal;1;4
631161080;Attack in the Middle;Normal;6;0
631161081;Normal;Normal;2;0
631161082;Normal;Normal;1;1
631161083;Normal;Attack on wings;0;7
631161084;Normal;Attack in the Middle;0;1
631161085;Attack in the Middle;Attack on wings;4;1
631161086;Normal;Normal;8;0
631161087;Normal;Normal;4;1
631161088;Normal;Normal;4;3
631161089;Normal;Attack in the Middle;0;10
631161090;Attack on wings;Normal;9;0
631161091;Normal;Normal;0;7
631161092;Normal;Normal;2;4
631161093;Attack in the Middle;Normal;10;1
631161094;Normal;Normal;8;0
631161095;Normal;Attack on wings;0;8
631161096;Normal;Normal;2;3
631161097;Normal;Attack in the Middle;0;9
631161098;Attack on wings;Normal;2;1
631161099;Normal;Normal;6;1
631161100;Normal;Normal;0;3
631161101;Attack in the Middle;Normal;7;0
631161102;Normal;Normal;4;4
631161103;Normal;Normal;9;1
631161104;Attack on wings;Normal;8;0
631161105;Normal;Attack in the Middle;0;9
631161106;Normal;Normal;1;10
631161107;Normal;Normal;1;3
631161108;Normal;Attack on wings;0;9
631161109;Attack in the Middle;Normal;5;0
631161110;Attack on wings;Normal;10;0
631161111;Normal;Normal;5;1
631161112;Normal;Normal;6;2
631161113;Normal;Normal;0;6
631161114;Normal;Normal;3;6
631161115;Normal;Attack on wings;0;11
631161116;Normal;Attack in the Middle;1;1
631161117;Attack on wings;Normal;7;0
631161118;Normal;Normal;4;4
631161119;Normal;Normal;9;0
631161120;Attack in the Middle;Normal;9;1
631161121;Normal;Attack on wings;5;0
631161122;Normal;Normal;0;9
631161123;Normal;Normal;4;0
631161124;Normal;Attack in the Middle;0;10
631161125;Normal;Normal;4;1
631161126;Normal;Normal;1;6
631161127;Attack in the Middle;Attack on wings;1;2
631161128;Attack in the Middle;Normal;9;0
631161129;Normal;Normal;2;0
631161130;Attack on wings;Normal;11;0
631161131;Normal;Normal;0;8
631161132;Normal;Attack in the Middle;0;13
631161133;Normal;Normal;6;0
631161134;Attack in the Middle;Normal;9;0
631161135;Normal;Attack on wings;0;10
631161136;Attack in the Middle;Normal;9;0
631161137;Normal;Normal;1;2
631161138;Normal;Normal;2;2
631161139;Normal;Attack in the Middle;0;9
631161140;Attack on wings;Attack in the Middle;1;3
631161141;Counter-attacks;Counter-attacks;0;0
631161142;Normal;Counter-attacks;6;2
631161143;Pressing;Play creatively;6;1
631161144;Play creatively;Counter-attacks;0;2
631161145;Counter-attacks;Normal;2;0
631161146;Play creatively;Play creatively;10;0
631161147;Normal;Counter-attacks;5;3
631161148;Counter-attacks;Pressing;1;3
631161149;Normal;Pressing;3;0
631161150;Attack on wings;Pressing;5;1
631161151;Normal;Normal;4;0
631161152;Play creatively;Normal;0;8
631161153;Normal;Attack on wings;2;4
631161154;Counter-attacks;Normal;2;2
631161155;Pressing;Play creatively;7;1
631161156;Counter-attacks;Normal;1;5
631161157;Attack on wings;Play creatively;6;0
631161158;Normal;Pressing;4;0
631161159;Attack on wings;Pressing;3;1
631161160;Normal;Normal;2;1
631161161;Pressing;Attack on wings;0;2
631161162;Play creatively;Normal;0;5
631161163;Normal;Counter-attacks;0;1
631161164;Counter-attacks;Normal;2;4
631161165;Normal;Attack on wings;6;0
631161166;Counter-attacks;Pressing;1;1
631161167;Normal;Play creatively;10;0
631161168;Normal;Counter-attacks;1;2
631161169;Attack on wings;Attack on wings;2;3
631161170;Play creatively;Normal;0;8
631161171;Counter-attacks;Play creatively;0;5
631161172;Normal;Normal;5;2
631161173;Normal;Counter-attacks;6;1
631161174;Counter-attacks;Attack on wings;4;0
631161175;Normal;Play creatively;5;0
631161176;Normal;Counter-attacks;2;1
631161177;Normal;Counter-attacks;1;2
631161178;Attack on wings;Counter-attacks;1;0
631161179;Normal;Attack on wings;0;6
631161180;Play creatively;Normal;0;4
631161181;Counter-attacks;Normal;3;3
631161182;Play creatively;Normal;2;3
631161183;Counter-attacks;Normal;1;5
631161184;Counter-attacks;Normal;6;0
631161185;Normal;Play creatively;8;0
631161186;Counter-attacks;Normal;0;3
631161187;Normal;Normal;0;2
631161188;Counter-attacks;Counter-attacks;0;3
631161189;Normal;Counter-attacks;0;2
631161190;Normal;Normal;3;0
631161191;Play creatively;Play creatively;0;10
631161192;Attack on wings;Counter-attacks;2;0
631161193;Normal;Play creatively;7;0
631161194;Normal;Normal;8;0
631161195;Normal;Normal;0;4
631161196;Play creatively;Counter-attacks;3;1
631161197;Normal;Normal;7;0
631161198;Attack on wings;Attack in the Middle;7;1
631161199;Normal;Normal;3;0
631161200;Normal;Normal;4;0
631161201;Normal;Attack on wings;0;6
631161202;Attack in the Middle;Normal;10;0
631161203;Normal;Normal;0;5
631161204;Normal;Normal;3;0
631161205;Attack on wings;Normal;9;0
631161206;Normal;Normal;6;0
631161207;Normal;Attack in the Middle;0;9
631161208;Normal;Normal;3;2
631161209;Normal;Attack on wings;0;7
631161210;Attack in the Middle;Normal;3;0
631161211;Normal;Normal;1;1
631161212;Normal;Normal;0;5
631161213;Attack on wings;Normal;9;0
631161214;Normal;Normal;1;1
631161215;Normal;Normal;7;0
631161216;Normal;Attack on wings;0;9
631161217;Attack in the Middle;Normal;8;0
631161218;Normal;Attack in the Middle;0;9
631161219;Normal;Normal;3;1
631161220;Normal;Normal;0;6
631161221;Attack on wings;Normal;4;0
631161222;Normal;Normal;3;1
631161223;Normal;Normal;1;3
631161224;Normal;Normal;1;5
631161225;Attack in the Middle;Normal;9;0
631161226;Normal;Normal;1;1
631161227;Normal;Attack in the Middle;0;9
631161228;Normal;Attack on wings;0;2
631161229;Attack in the Middle;Normal;8;0
631161230;Normal;Normal;3;4
631161231;Normal;Normal;6;0
631161232;Attack on wings;Normal;9;0
631161233;Normal;Attack in the Middle;0;9
631161234;Normal;Normal;0;7
631161235;Normal;Normal;1;3
631161236;Normal;Attack on wings;0;8
631161237;Normal;Normal;3;1
631161238;Normal;Normal;1;1
631161239;Normal;Attack in the Middle;0;4
631161240;Attack on wings;Normal;10;0
631161241;Normal;Normal;2;1
631161242;Attack in the Middle;Normal;7;0
631161243;Normal;Normal;0;5
631161244;Normal;Attack on wings;0;7
631161245;Normal;Normal;5;0
631161246;Normal;Normal;7;0
631161247;Normal;Attack in the Middle;0;9
631161248;Attack on wings;Normal;8;0
631161249;Normal;Normal;1;4
631161250;Normal;Normal;1;0
631161251;Normal;Normal;0;7
631161252;Attack in the Middle;Attack on wings;2;4
631161253;Normal;Normal;3;2
631161254;Play creatively;Normal;11;0
631161255;Normal;Normal;1;0
631161256;Normal;Normal;2;3
631161257;Normal;Normal;0;9
631161258;Normal;Normal;8;0
631161259;Normal;Normal;0;7
631161260;Normal;Normal;3;4
631161261;Normal;Normal;6;0
631161262;Normal;Normal;8;0
631161263;Normal;Normal;0;9
631161264;Normal;Normal;2;2
631161265;Normal;Normal;0;11
631161266;Normal;Normal;1;1
631161267;Normal;Normal;5;1
631161268;Normal;Normal;5;4
631161269;Normal;Normal;9;1
631161270;Normal;Normal;3;3
631161271;Normal;Normal;9;0
631161272;Normal;Normal;8;0
631161273;Normal;Normal;0;9
631161274;Normal;Normal;0;8
631161275;Normal;Normal;3;3
631161276;Normal;Normal;0;8
631161277;Normal;Normal;2;2
631161278;Normal;Normal;7;0
631161279;Normal;Normal;5;3
631161280;Normal;Normal;1;1
631161281;Normal;Normal;1;2
631161282;Normal;Normal;2;4
631161283;Normal;Normal;0;7
631161284;Normal;Attack on wings;3;2
631161285;Normal;Normal;10;0
631161286;Normal;Normal;3;2
631161287;Attack on wings;Normal;8;0
631161288;Normal;Normal;9;0
631161289;Normal;Normal;0;9
631161290;Normal;Normal;0;7
631161291;Normal;Normal;6;5
631161292;Normal;Play creatively;0;9
631161293;Normal;Normal;0;5
631161294;Normal;Normal;2;5
631161295;Play creatively;Normal;0;3
631161296;Play creatively;Normal;9;0
631161297;Normal;Normal;6;0
631161298;Normal;Normal;8;0
631161299;Normal;Normal;0;8
631161300;Normal;Counter-attacks;1;11
631161301;Normal;Normal;2;5
631161302;Normal;Normal;9;0
631161303;Normal;Normal;0;9
631161304;Play creatively;Normal;10;0
631161305;Normal;Normal;2;1
631161306;Normal;Normal;1;3
631161307;Normal;Play creatively;0;9
631161308;Normal;Attack in the Middle;0;6
631161309;Attack in the Middle;Counter-attacks;1;0
631161310;Pressing;Normal;7;0
631161311;Normal;Normal;3;1
631161312;Normal;Normal;5;2
631161313;Normal;Attack in the Middle;0;7
631161314;Counter-attacks;Normal;10;0
631161315;Normal;Pressing;0;3
631161316;Normal;Normal;1;3
631161317;Attack in the Middle;Normal;9;0
631161318;Pressing;Normal;5;0
631161319;Normal;Play creatively;0;7
631161320;Normal;Normal;2;1
631161321;Normal;Attack in the Middle;0;8
631161322;Play creatively;Pressing;3;0
631161323;Normal;Normal;5;0
631161324;Normal;Normal;5;5
631161325;Attack in the Middle;Normal;7;0
631161326;Normal;Normal;4;2
631161327;Pressing;Normal;7;0
631161328;Attack in the Middle;Normal;6;0
631161329;Normal;Attack in the Middle;0;10
631161330;Normal;Pressing;0;8
631161331;Normal;Normal;0;4
631161332;Normal;Pressing;0;7
631161333;Attack in the Middle;Pressing;4;0
631161334;Counter-attacks;Normal;8;0
631161335;Normal;Normal;6;1
631161336;Normal;Normal;4;1
631161337;Normal;Normal;3;0
631161338;Normal;Normal;1;6
631161339;Normal;Counter-attacks;0;9
631161340;Normal;Attack in the Middle;1;4
631161341;Attack in the Middle;Normal;8;0
631161342;Normal;Normal;2;1
631161343;Normal;Normal;11;1
631161344;Attack in the Middle;Normal;7;0
631161345;Normal;Pressing;0;6
631161346;Normal;Normal;0;9
631161347;Normal;Normal;1;4
631161348;Normal;Attack in the Middle;0;8
631161349;Normal;Normal;7;1
631161350;Normal;Normal;4;5
631161351;Normal;Attack in the Middle;1;1
631161352;Attack in the Middle;Normal;8;0
631161353;Normal;Normal;4;1
631161354;Attack in the Middle;Normal;7;0
631161355;Normal;Normal;0;8
631161356;Normal;Attack in the Middle;0;10
631161357;Normal;Normal;6;1
631161358;Normal;Normal;6;0
631161359;Normal;Attack in the Middle;0;9
631161360;Attack in the Middle;Normal;10;0
631161361;Normal;Normal;4;4
631161362;Normal;Normal;1;3
631161363;Normal;Normal;0;8
631161364;Counter-attacks;Attack in the Middle;0;4
631161365;Normal;Counter-attacks;0;5
631161366;Normal;Normal;0;8
631161367;Normal;Normal;4;1
631161368;Normal;Normal;4;1
631161369;Normal;Normal;3;0
631161370;Play creatively;Normal;6;0
631161371;Normal;Normal;3;0
631161372;Normal;Normal;1;6
631161373;Normal;Normal;10;0
631161374;Normal;Normal;5;1
631161375;Normal;Counter-attacks;3;1
631161376;Normal;Normal;2;3
631161377;Normal;Normal;0;4
631161378;Counter-attacks;Normal;9;1
631161379;Normal;Normal;5;0
631161380;Normal;Normal;0;10
631161381;Normal;Normal;7;0
631161382;Normal;Normal;8;0
631161383;Normal;Normal;9;1
631161384;Counter-attacks;Normal;9;0
631161385;Normal;Normal;1;7
631161386;Normal;Normal;1;6
631161387;Normal;Normal;0;8
631161388;Normal;Play creatively;0;8
631161389;Normal;Normal;8;2
631161390;Play creatively;Normal;7;0
631161391;Normal;Normal;8;0
631161392;Normal;Normal;3;0
631161393;Normal;Normal;0;3
631161394;Normal;Normal;0;8
631161395;Normal;Play creatively;0;12
631161396;Normal;Normal;0;6
631161397;Play creatively;Normal;9;0
631161398;Normal;Normal;7;0
631161399;Normal;Normal;2;0
631161400;Normal;Normal;7;0
631161401;Normal;Play creatively;0;8
631161402;Normal;Normal;0;6
631161403;Normal;Normal;0;9
631161404;Normal;Normal;0;7
631161405;Normal;Normal;10;0
631161406;Normal;Normal;4;2
631161407;Normal;Play creatively;0;6
631161408;Normal;Normal;7;0
631161409;Normal;Normal;3;1
631161410;Play creatively;Normal;3;2
631161411;Normal;Normal;2;3
631161412;Normal;Normal;0;8
631161413;Normal;Normal;5;1
631161414;Normal;Normal;2;0
631161415;Normal;Play creatively;0;10
631161416;Normal;Normal;1;3
631161417;Normal;Normal;0;2
631161418;Normal;Normal;5;1
631161419;Normal;Normal;10;0
631161420;Play creatively;Normal;8;1
631161421;Normal;Normal;1;0
631161422;Normal;Normal;0;4
631161423;Normal;Normal;0;10
631161424;Normal;Normal;4;1
631161425;Normal;Normal;7;0
631161426;Normal;Normal;4;0
631161427;Normal;Attack in the Middle;1;2
631161428;Attack in the Middle;Normal;7;0
631161429;Normal;Normal;0;5
631161430;Normal;Normal;0;5
631161431;Attack in the Middle;Normal;6;1
631161432;Normal;Normal;2;0
631161433;Normal;Normal;0;6
631161434;Normal;Normal;4;0
631161435;Normal;Attack in the Middle;0;7
631161436;Normal;Normal;0;3
631161437;Normal;Attack in the Middle;3;3
631161438;Normal;Normal;1;1
631161439;Normal;Normal;5;0
631161440;Normal;Normal;6;0
631161441;Normal;Normal;0;6
631161442;Attack in the Middle;Normal;9;0
631161443;Normal;Normal;0;2
631161444;Normal;Normal;0;8
631161445;Normal;Normal;8;0
631161446;Normal;Normal;7;0
631161447;Normal;Attack in the Middle;0;7
631161448;Normal;Normal;4;0
631161449;Normal;Normal;1;4
631161450;Attack in the Middle;Normal;5;0
631161451;Normal;Normal;0;5
631161452;Normal;Normal;0;8
631161453;Normal;Normal;8;0
631161454;Normal;Normal;1;3
631161455;Normal;Attack in the Middle;0;7
631161456;Normal;Normal;9;0
631161457;Normal;Normal;0;6
631161458;Normal;Normal;1;5
631161459;Normal;Normal;1;3
631161460;Attack in the Middle;Normal;1;1
631161461;Normal;Normal;6;0
631161462;Attack in the Middle;Normal;7;0
631161463;Normal;Normal;0;5
631161464;Normal;Normal;7;0
631161465;Normal;Attack in the Middle;0;7
631161466;Normal;Normal;2;0
631161467;Normal;Normal;1;2
631161468;Normal;Normal;0;9
631161469;Normal;Normal;6;1
631161470;Normal;Normal;3;1
631161471;Attack in the Middle;Normal;5;0
631161472;Normal;Normal;8;0
631161473;Normal;Attack in the Middle;0;8
631161474;Normal;Normal;2;1
631161475;Normal;Normal;1;1
631161476;Normal;Normal;1;3
631161477;Play creatively;Attack on wings;3;4
631161478;Normal;Normal;0;8
631161479;Normal;Normal;3;2
631161480;Normal;Normal;5;0
631161481;Normal;Play creatively;1;5
631161482;Attack on wings;Normal;8;0
631161483;Normal;Normal;7;2
631161484;Normal;Normal;0;5
631161485;Normal;Normal;5;0
631161486;Normal;Normal;2;1
631161487;Normal;Attack on wings;1;8
631161488;Normal;Normal;0;4
631161489;Normal;Play creatively;1;9
631161490;Attack on wings;Normal;11;0
631161491;Normal;Normal;0;3
631161492;Normal;Normal;0;5
631161493;Play creatively;Normal;9;0
631161494;Normal;Normal;6;1
631161495;Normal;Normal;5;0
631161496;Attack on wings;Normal;10;0
631161497;Normal;Play creatively;0;12
631161498;Normal;Normal;5;2
631161499;Normal;Normal;0;5
631161500;Normal;Attack on wings;0;5
631161501;Play creatively;Normal;11;0
631161502;Attack on wings;Normal;10;0
631161503;Normal;Normal;7;0
631161504;Normal;Normal;5;0
631161505;Normal;Normal;0;5
631161506;Normal;Normal;0;8
631161507;Normal;Attack on wings;0;10
631161508;Normal;Play creatively;0;10
631161509;Attack on wings;Normal;5;0
631161510;Normal;Normal;7;0
631161511;Normal;Normal;0;2
631161512;Play creatively;Normal;11;0
631161513;Normal;Attack on wings;0;12
631161514;Normal;Normal;0;5
631161515;Normal;Normal;0;7
631161516;Normal;Play creatively;0;11
631161517;Normal;Normal;5;0
631161518;Normal;Attack on wings;0;6
631161519;Normal;Normal;2;2
631161520;Play creatively;Normal;9;0
631161521;Normal;Normal;3;0
631161522;Attack on wings;Normal;5;0
631161523;Normal;Normal;1;2
631161524;Normal;Play creatively;0;5
631161525;Normal;Normal;5;0
631161526;Normal;Normal;2;3
631161527;Normal;Attack on wings;0;8
631161528;Play creatively;Normal;1;2
631161529;Normal;Normal;0;5
631161530;Normal;Normal;7;0
631161531;Normal;Normal;9;0
631161532;Attack on wings;Play creatively;6;1
631161533;Attack on wings;Normal;7;0
631161534;Pressing;Normal;4;0
631161535;Normal;Normal;4;1
631161536;Counter-attacks;Normal;5;0
631161537;Normal;Attack on wings;0;8
631161538;Normal;Counter-attacks;0;2
631161539;Normal;Pressing;0;3
631161540;Normal;Normal;3;0
631161541;Attack on wings;Normal;10;0
631161542;Pressing;Normal;7;0
631161543;Normal;Normal;3;2
631161544;Counter-attacks;Normal;4;0
631161545;Normal;Attack on wings;0;8
631161546;Normal;Pressing;5;0
631161547;Normal;Counter-attacks;0;7
631161548;Normal;Normal;3;3
631161549;Attack on wings;Counter-attacks;4;0
631161550;Normal;Normal;4;0
631161551;Pressing;Normal;0;5
631161552;Normal;Normal;4;2
631161553;Normal;Attack on wings;0;9
631161554;Counter-attacks;Pressing;2;0
631161555;Normal;Normal;5;1
631161556;Normal;Normal;2;0
631161557;Attack on wings;Pressing;2;0
631161558;Normal;Normal;0;2
631161559;Normal;Counter-attacks;0;7
631161560;Normal;Normal;3;5
631161561;Normal;Normal;3;3
631161562;Counter-attacks;Normal;5;0
631161563;Normal;Normal;0;0
631161564;Pressing;Attack on wings;1;0
631161565;Normal;Normal;1;3
631161566;Normal;Normal;6;0
631161567;Pressing;Counter-attacks;2;0
631161568;Attack on wings;Normal;8;0
631161569;Normal;Normal;1;0
631161570;Normal;Pressing;0;6
631161571;Normal;Normal;2;3
631161572;Counter-attacks;Counter-attacks;0;3
631161573;Normal;Normal;4;1
631161574;Counter-attacks;Normal;5;0
631161575;Pressing;Normal;6;0
631161576;Counter-attacks;Normal;8;0
631161577;Normal;Counter-attacks;0;6
631161578;Normal;Normal;2;2
631161579;Normal;Pressing;0;6
631161580;Normal;Counter-attacks;0;12
631161581;Normal;Normal;0;1
631161582;Pressing;Normal;8;0
631161583;Counter-attacks;Normal;8;0
631161584;Attack on wings;Normal;10;0
631161585;Normal;Counter-attacks;0;6
631161586;Normal;Normal;0;0
631161588;Normal;Pressing;0;8
631161589;Normal;Normal;5;0
631161590;Normal;Normal;7;0
631161591;Normal;Normal;2;5
631161592;Normal;Normal;6;2
631161593;Normal;Attack in the Middle;0;10
